"count","city","county","road","number","type","type2","area","area2","GeoJson"
14,"高雄市","岡山區","華興段","465","特定農業區","農牧用地",1064,1064,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32129542758,22.816736805275],[120.3213153313,22.817129207568],[120.32119142626,22.817134350956],[120.32115410782,22.816376494589],[120.32127727276,22.816344207872],[120.32129542758,22.816736805275]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4650000,""ymax"":22.817134350956,""ymin"":22.816344207872,""xmax"":120.3213153313,""xmin"":120.32115410782,""xcenter"":120.32123471956,""ycenter"":22.816739279414}}]}"
15,"高雄市","岡山區","華興段","466","特定農業區","農牧用地",879,879,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32141039024,22.817125359033],[120.3213153313,22.817129207568],[120.32129542758,22.816736805275],[120.32127727276,22.816344207872],[120.32137046621,22.816319894991],[120.32141039024,22.817125359033]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4660000,""ymax"":22.817129207568,""ymin"":22.816319894991,""xmax"":120.32141039024,""xmin"":120.32127727276,""xcenter"":120.3213438315,""ycenter"":22.816724551279}}]}"
16,"高雄市","岡山區","華興段","467","特定農業區","農牧用地",1609,1609,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32141039024,22.817125359033],[120.32137046621,22.816319894991],[120.32143171992,22.816303952699],[120.32151870652,22.816694615212],[120.32167185481,22.816740230716],[120.32164169631,22.816874183005],[120.32166891172,22.817113902178],[120.32141039024,22.817125359033]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4670000,""ymax"":22.817125359033,""ymin"":22.816303952699,""xmax"":120.32167185481,""xmin"":120.32137046621,""xcenter"":120.32152116051,""ycenter"":22.816714655866}}]}"
17,"高雄市","岡山區","華興段","471","特定農業區","水利用地",538,538,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32170518907,22.817112031193],[120.32170835189,22.81713513407],[120.32095093596,22.817166542812],[120.31961747425,22.81722323756],[120.3196090663,22.817200517332],[120.3196621685,22.817198313564],[120.31966435328,22.81719832289],[120.31991041569,22.817188030939],[120.31994516172,22.817186558898],[120.32002557967,22.817183256333],[120.32023208851,22.817174617968],[120.32033173753,22.817170384579],[120.32051835882,22.817162876261],[120.32062653048,22.817158273945],[120.32084309426,22.817148664956],[120.32102709378,22.817141144868],[120.32119142626,22.817134350956],[120.3213153313,22.817129207568],[120.32141039024,22.817125359033],[120.32166891172,22.817113902178],[120.32170518907,22.817112031193]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4710000,""ymax"":22.81722323756,""ymin"":22.817112031193,""xmax"":120.32170835189,""xmin"":120.3196090663,""xcenter"":120.32065870909,""ycenter"":22.817167634376}}]}"
18,"高雄市","岡山區","華興段","472","特定農業區","交通用地",1079,1079,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32175831479,22.816707989944],[120.32171794394,22.816874710066],[120.32175187395,22.817170358498],[120.32069136364,22.817213640834],[120.31963083979,22.817259549042],[120.31961747425,22.81722323756],[120.32095093596,22.817166542812],[120.32170835189,22.81713513407],[120.32170518907,22.817112031193],[120.32167794952,22.816877172851],[120.32172101036,22.816696691553],[120.32175831479,22.816707989944]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4720000,""ymax"":22.817259549042,""ymin"":22.816696691553,""xmax"":120.32175831479,""xmin"":120.31961747425,""xcenter"":120.32068789452,""ycenter"":22.816978120297}}]}"
19,"高雄市","岡山區","華興段","473","特定農業區","水利用地",1196,1196,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32069136364,22.817213640834],[120.32175187395,22.817170358498],[120.32175753013,22.817219396945],[120.32170858003,22.817221416545],[120.32167252413,22.817222680857],[120.3214856833,22.817230392132],[120.32139368299,22.817234253733],[120.32114062824,22.817244720729],[120.32100470379,22.817250420388],[120.32089281693,22.817255209666],[120.32075623503,22.817261311388],[120.32063844825,22.81726627788],[120.32049684234,22.817272155425],[120.32031218619,22.817279874635],[120.31998636003,22.817293675118],[120.31995008363,22.817295343176],[120.31966905548,22.817307308773],[120.31964916996,22.817308034038],[120.31963083979,22.817259549042],[120.32069136364,22.817213640834]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4730000,""ymax"":22.817308034038,""ymin"":22.817170358498,""xmax"":120.32175753013,""xmin"":120.31963083979,""xcenter"":120.32069418496,""ycenter"":22.817239196268}}]}"
20,"高雄市","岡山區","華興段","476","特定農業區","農牧用地",1075,1075,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32168339548,22.817321566033],[120.32161224662,22.817350226232],[120.32169481521,22.817839101097],[120.32151584781,22.817845023052],[120.32149945466,22.817537702017],[120.3214856833,22.817230392132],[120.32167252413,22.817222680857],[120.32168339548,22.817321566033]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4760000,""ymax"":22.817845023052,""ymin"":22.817222680857,""xmax"":120.32169481521,""xmin"":120.3214856833,""xcenter"":120.32159024925,""ycenter"":22.817533851955}}]}"
21,"高雄市","岡山區","華興段","477","特定農業區","農牧用地",1729,1729,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.3214341817,22.81801197233],[120.32187660121,22.818014058019],[120.32184528732,22.818072458464],[120.32143795048,22.818089155626],[120.3214341817,22.81801197233]]],[[[120.32149945466,22.817537702017],[120.32151584781,22.817845023052],[120.32169481521,22.817839101097],[120.32170246398,22.817838728574],[120.32180753231,22.817843226502],[120.32182909955,22.817855875681],[120.32187903256,22.81800839728],[120.32187748917,22.818011226255],[120.32143288086,22.818009941404],[120.32139368299,22.817234253733],[120.3214856833,22.817230392132],[120.32149945466,22.817537702017]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4770000,""ymax"":22.818089155626,""ymin"":22.817230392132,""xmax"":120.32187903256,""xmin"":120.32139368299,""xcenter"":120.32163635778,""ycenter"":22.817659773879}}]}"
22,"高雄市","岡山區","華興段","478","特定農業區","農牧用地",2512,2512,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32117921743,22.818010683982],[120.3214341817,22.81801197233],[120.32143795048,22.818089155626],[120.32131033042,22.81809428327],[120.32118249088,22.818099612416],[120.32117921743,22.818010683982]]],[[[120.32143288086,22.818009941404],[120.3211787875,22.81800926438],[120.32114062824,22.817244720729],[120.32139368299,22.817234253733],[120.32143288086,22.818009941404]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4780000,""ymax"":22.818099612416,""ymin"":22.817234253733,""xmax"":120.32143795048,""xmin"":120.32114062824,""xcenter"":120.32128928936,""ycenter"":22.817666933074}}]}"
23,"高雄市","岡山區","華興段","479","特定農業區","農牧用地",1320,1320,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32104419726,22.81801010881],[120.32111301822,22.818010401995],[120.32117921743,22.818010683982],[120.32118249088,22.818099612416],[120.32104809493,22.818105318605],[120.32104419726,22.81801010881]]],[[[120.3211787875,22.81800926438],[120.32104245645,22.818008683623],[120.32102314262,22.81762965142],[120.32100470379,22.817250420388],[120.32114062824,22.817244720729],[120.3211787875,22.81800926438]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4790000,""ymax"":22.818105318605,""ymin"":22.817244720729,""xmax"":120.32118249088,""xmin"":120.32100470379,""xcenter"":120.32109359733,""ycenter"":22.817675019667}}]}"
24,"高雄市","岡山區","華興段","480","特定農業區","農牧用地",1090,1090,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32093168046,22.818009629413],[120.32104419726,22.81801010881],[120.32104809493,22.818105318605],[120.32093598991,22.818109904431],[120.32093168046,22.818009629413]]],[[[120.32102314262,22.81762965142],[120.32104245645,22.818008683623],[120.32092994066,22.81800800169],[120.32089281693,22.817255209666],[120.32100470379,22.817250420388],[120.32102314262,22.81762965142]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4800000,""ymax"":22.818109904431,""ymin"":22.817250420388,""xmax"":120.32104809493,""xmin"":120.32089281693,""xcenter"":120.32097045593,""ycenter"":22.81768016241}}]}"
25,"高雄市","岡山區","華興段","481","特定農業區","農牧用地",1327,1327,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32093168046,22.818009629413],[120.32093598991,22.818109904431],[120.32087196038,22.818112669668],[120.32080159395,22.818115610412],[120.32079600586,22.818008848704],[120.32093168046,22.818009629413]]],[[[120.32092994066,22.81800800169],[120.32079404658,22.818007422583],[120.32077470331,22.817634466399],[120.32075623503,22.817261311388],[120.32089281693,22.817255209666],[120.32092994066,22.81800800169]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4810000,""ymax"":22.818115610412,""ymin"":22.817255209666,""xmax"":120.32093598991,""xmin"":120.32075623503,""xcenter"":120.32084611247,""ycenter"":22.817685410039}}]}"
26,"高雄市","岡山區","華興段","482","特定農業區","農牧用地",1138,1138,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32079600586,22.818008848704],[120.32080159395,22.818115610412],[120.32068009228,22.818120561088],[120.32067562382,22.818008335606],[120.32079600586,22.818008848704]]],[[[120.32077470331,22.817634466399],[120.32079404658,22.818007422583],[120.32067563185,22.81800671533],[120.32063844825,22.81726627788],[120.32075623503,22.817261311388],[120.32077470331,22.817634466399]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4820000,""ymax"":22.818120561088,""ymin"":22.817261311388,""xmax"":120.32080159395,""xmin"":120.32063844825,""xcenter"":120.3207200211,""ycenter"":22.817690936238}}]}"
27,"高雄市","岡山區","華興段","483","特定農業區","農牧用地",1375,1375,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.32067562382,22.818008335606],[120.32068009228,22.818120561088],[120.32053979636,22.818126444236],[120.32053470573,22.818007532323],[120.32067562382,22.818008335606]]],[[[120.32067563185,22.81800671533],[120.32053318341,22.818006108062],[120.32049684234,22.817272155425],[120.32063844825,22.81726627788],[120.32067563185,22.81800671533]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華興段"",""地號"":4830000,""ymax"":22.818126444236,""ymin"":22.81726627788,""xmax"":120.32068009228,""xmin"":120.32049684234,""xcenter"":120.32058846731,""ycenter"":22.817696361058}}]}"
1,"高雄市","岡山區","嘉興段","1947","特定農業區","農牧用地",1484,1484,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30948775962,22.811497547679],[120.30959619848,22.812449721044],[120.30946251225,22.812462639163],[120.30935213315,22.81151045732],[120.30948775962,22.811497547679]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19470000,""ymax"":22.812462639163,""ymin"":22.811497547679,""xmax"":120.30959619848,""xmin"":120.30935213315,""xcenter"":120.30947416582,""ycenter"":22.811980093421}}]}"
2,"高雄市","岡山區","嘉興段","1948","特定農業區","農牧用地",1166,1166,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30935213315,22.81151045732],[120.30946251225,22.812462639163],[120.30935439704,22.812473268461],[120.30924563784,22.811520793641],[120.30935213315,22.81151045732]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19480000,""ymax"":22.812473268461,""ymin"":22.81151045732,""xmax"":120.30946251225,""xmin"":120.30924563784,""xcenter"":120.30935407504,""ycenter"":22.811991862891}}]}"
3,"高雄市","岡山區","嘉興段","1949","特定農業區","農牧用地",1379,1379,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30924563784,22.811520793641],[120.30935439704,22.812473268461],[120.30923041972,22.812485628574],[120.30911907466,22.811532842543],[120.30924563784,22.811520793641]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19490000,""ymax"":22.812485628574,""ymin"":22.811520793641,""xmax"":120.30935439704,""xmin"":120.30911907466,""xcenter"":120.30923673585,""ycenter"":22.812003211108}}]}"
4,"高雄市","岡山區","嘉興段","1950","特定農業區","農牧用地",1062,1062,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30911907466,22.811532842543],[120.30923041972,22.812485628574],[120.30913266199,22.812495402792],[120.30902390887,22.811542028067],[120.30911907466,22.811532842543]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19500000,""ymax"":22.812495402792,""ymin"":22.811532842543,""xmax"":120.30923041972,""xmin"":120.30902390887,""xcenter"":120.3091271643,""ycenter"":22.812014122667}}]}"
5,"高雄市","岡山區","嘉興段","1951","特定農業區","農牧用地",1062,1062,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30902390887,22.811542028067],[120.30913266199,22.812495402792],[120.30903555132,22.812505179755],[120.308928096,22.811551210728],[120.30902390887,22.811542028067]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19510000,""ymax"":22.812505179755,""ymin"":22.811542028067,""xmax"":120.30913266199,""xmin"":120.308928096,""xcenter"":120.309030379,""ycenter"":22.812023603911}}]}"
6,"高雄市","岡山區","嘉興段","1952","特定農業區","農牧用地",1169,1169,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.308928096,22.811551210728],[120.30903555132,22.812505179755],[120.30893002429,22.812515819983],[120.30882063005,22.811561542556],[120.308928096,22.811551210728]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19520000,""ymax"":22.812515819983,""ymin"":22.811551210728,""xmax"":120.30903555132,""xmin"":120.30882063005,""xcenter"":120.30892809068,""ycenter"":22.812033515355}}]}"
7,"高雄市","岡山區","嘉興段","1953","特定農業區","農牧用地",2659,2659,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30869275208,22.812539386028],[120.308702458,22.812539428122],[120.30869274754,22.812540285822],[120.30869275208,22.812539386028]]],[[[120.30857721395,22.811584781886],[120.30882063005,22.811561542556],[120.30893002429,22.812515819983],[120.30870181548,22.812538525522],[120.30868467137,22.812537851291],[120.30857721395,22.811584781886]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19530000,""ymax"":22.812540285822,""ymin"":22.811561542556,""xmax"":120.30893002429,""xmin"":120.30857721395,""xcenter"":120.30875361912,""ycenter"":22.812050914189}}]}"
8,"高雄市","岡山區","嘉興段","1954","特定農業區","農牧用地",3247,3247,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30869275208,22.812539386028],[120.30869274754,22.812540285822],[120.30839300653,22.812568979362],[120.30838960365,22.812538070979],[120.30869275208,22.812539386028]]],[[[120.30828232795,22.811613496322],[120.30857721395,22.811584781886],[120.30868467137,22.812537851291],[120.30838669945,22.812536558687],[120.30828232795,22.811613496322]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19540000,""ymax"":22.812568979362,""ymin"":22.811584781886,""xmax"":120.30869275208,""xmin"":120.30828232795,""xcenter"":120.30848754001,""ycenter"":22.812076880624}}]}"
9,"高雄市","岡山區","嘉興段","1955","特定農業區","農牧用地",2666,2666,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30838960365,22.812538070979],[120.30839300653,22.812568979362],[120.30814925899,22.812593416312],[120.30814242608,22.812536998303],[120.30838960365,22.812538070979]]],[[[120.3080382616,22.811637331878],[120.30828232795,22.811613496322],[120.30838669945,22.812536558687],[120.30813984693,22.812535187479],[120.3080382616,22.811637331878]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19550000,""ymax"":22.812593416312,""ymin"":22.811613496322,""xmax"":120.30839300653,""xmin"":120.3080382616,""xcenter"":120.30821563406,""ycenter"":22.812103456317}}]}"
10,"高雄市","岡山區","嘉興段","1956","特定農業區","農牧用地",1922,1922,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30814242608,22.812536998303],[120.30814925899,22.812593416312],[120.30797575548,22.812610659417],[120.30796707237,22.812536237088],[120.30814242608,22.812536998303]]],[[[120.30786443729,22.811654273559],[120.3080382616,22.811637331878],[120.30813984693,22.812535187479],[120.30796416969,22.812534424858],[120.30786443729,22.811654273559]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19560000,""ymax"":22.812610659417,""ymin"":22.811637331878,""xmax"":120.30814925899,""xmin"":120.30786443729,""xcenter"":120.30800684814,""ycenter"":22.812123995648}}]}"
11,"高雄市","岡山區","嘉興段","1957","特定農業區","農牧用地",1762,1762,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30796707237,22.812536237088],[120.30797575548,22.812610659417],[120.30781584782,22.812626461684],[120.30780595403,22.8125355375],[120.30796707237,22.812536237088]]],[[[120.30770420872,22.811669774407],[120.30786443729,22.811654273559],[120.30796416969,22.812534424858],[120.3078024058,22.812533422525],[120.30770420872,22.811669774407]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19570000,""ymax"":22.812626461684,""ymin"":22.811654273559,""xmax"":120.30797575548,""xmin"":120.30770420872,""xcenter"":120.3078399821,""ycenter"":22.812140367622}}]}"
12,"高雄市","岡山區","嘉興段","1958","特定農業區","農牧用地",1655,1655,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30780595403,22.8125355375],[120.30781584782,22.812626461684],[120.30766823885,22.812641417395],[120.30765518867,22.812534882718],[120.30780595403,22.8125355375]]],[[[120.30755498465,22.811684423083],[120.30770420872,22.811669774407],[120.3078024058,22.812533422525],[120.30765358163,22.812532776171],[120.30755498465,22.811684423083]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19580000,""ymax"":22.812641417395,""ymin"":22.811669774407,""xmax"":120.30781584782,""xmin"":120.30755498465,""xcenter"":120.30768541623,""ycenter"":22.812155595901}}]}"
13,"高雄市","岡山區","嘉興段","1959","特定農業區","農牧用地",2617,2617,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30765518867,22.812534882718],[120.30766823885,22.812641417395],[120.30743129131,22.812664683024],[120.30741577589,22.812533842641],[120.30765518867,22.812534882718]]],[[[120.30731609606,22.811707980083],[120.30755498465,22.811684423083],[120.30765358163,22.812532776171],[120.30741190565,22.812531426321],[120.30731609606,22.811707980083]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19590000,""ymax"":22.812664683024,""ymin"":22.811684423083,""xmax"":120.30766823885,""xmin"":120.30731609606,""xcenter"":120.30749216745,""ycenter"":22.812174553054}}]}"
14,"高雄市","岡山區","嘉興段","1960","特定農業區","農牧用地",2617,2617,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30741577589,22.812533842641],[120.30743129131,22.812664683024],[120.3071946657,22.812688249636],[120.30717668665,22.812532803612],[120.30741577589,22.812533842641]]],[[[120.30708012219,22.811730949517],[120.30731609606,22.811707980083],[120.30741190565,22.812531426321],[120.30717152229,22.812530381661],[120.30708012219,22.811730949517]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19600000,""ymax"":22.812688249636,""ymin"":22.811707980083,""xmax"":120.30743129131,""xmin"":120.30708012219,""xcenter"":120.30725570675,""ycenter"":22.812198114859}}]}"
15,"高雄市","岡山區","嘉興段","1961","特定農業區","農牧用地",2684,2684,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30717668665,22.812532803612],[120.3071946657,22.812688249636],[120.30695674591,22.812711810269],[120.30693903754,22.81256686323],[120.30693565624,22.812531755784],[120.30717668665,22.812532803612]]],[[[120.30682990691,22.811755056423],[120.30708012219,22.811730949517],[120.30717152229,22.812530381661],[120.30692887878,22.812528426997],[120.30682990691,22.811755056423]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19610000,""ymax"":22.812711810269,""ymin"":22.811730949517,""xmax"":120.3071946657,""xmin"":120.30682990691,""xcenter"":120.3070122863,""ycenter"":22.812221379893}}]}"
16,"高雄市","岡山區","嘉興段","1962","特定農業區","農牧用地",3257,3257,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30667650812,22.812530628786],[120.30693565624,22.812531755784],[120.30693903754,22.81256686323],[120.30695674591,22.812711810269],[120.30667545008,22.812739680946],[120.30667650812,22.812530628786]]],[[[120.3066729675,22.812527014129],[120.30667777092,22.811769691612],[120.30682990691,22.811755056423],[120.30692887878,22.812528426997],[120.3066729675,22.812527014129]]],[[[120.30667294928,22.812530613306],[120.3066718791,22.812742064917],[120.3066602259,22.81274321398],[120.30662959617,22.812530424727],[120.30667294928,22.812530613306]]],[[[120.3066299364,22.812527126889],[120.30653340718,22.811782860776],[120.30667648136,22.811768786188],[120.30667361304,22.812527316875],[120.3066299364,22.812527126889]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19620000,""ymax"":22.81274321398,""ymin"":22.811755056423,""xmax"":120.30695674591,""xmin"":120.30653340718,""xcenter"":120.30674507654,""ycenter"":22.812249135201}}]}"
17,"高雄市","岡山區","嘉興段","1963","特定農業區","農牧用地",3259,3259,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30662959617,22.812530424727],[120.3066602259,22.81274321398],[120.30636598264,22.812772227542],[120.30633680088,22.81252915081],[120.30662959617,22.812530424727]]],[[[120.30633325875,22.812525836077],[120.3062372248,22.811811865709],[120.30653340718,22.811782860776],[120.3066299364,22.812527126889],[120.30633325875,22.812525836077]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19630000,""ymax"":22.812772227542,""ymin"":22.811782860776,""xmax"":120.3066602259,""xmin"":120.3062372248,""xcenter"":120.30644872535,""ycenter"":22.812277544159}}]}"
18,"高雄市","岡山區","嘉興段","1964","特定農業區","農牧用地",3209,3209,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30633680088,22.81252915081],[120.30636598264,22.812772227542],[120.30607594822,22.812800659004],[120.30604238796,22.812527869312],[120.30633680088,22.81252915081]]],[[[120.30603787676,22.812524250416],[120.30594913661,22.811839705579],[120.3062372248,22.811811865709],[120.30633325875,22.812525836077],[120.30603787676,22.812524250416]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19640000,""ymax"":22.812800659004,""ymin"":22.811811865709,""xmax"":120.30636598264,""xmin"":120.30594913661,""xcenter"":120.30615755963,""ycenter"":22.812306262357}}]}"
19,"高雄市","岡山區","嘉興段","1965","特定農業區","農牧用地",1391,1391,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30604238796,22.812527869312],[120.30607594822,22.812800659004],[120.30594549672,22.812813588239],[120.30590682861,22.812527279076],[120.30604238796,22.812527869312]]],[[[120.30590814096,22.812523685536],[120.30582354351,22.811851756075],[120.30594913661,22.811839705579],[120.30603787676,22.812524250416],[120.30590814096,22.812523685536]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19650000,""ymax"":22.812813588239,""ymin"":22.811839705579,""xmax"":120.30607594822,""xmin"":120.30582354351,""xcenter"":120.30594974587,""ycenter"":22.812326646909}}]}"
20,"高雄市","岡山區","嘉興段","1966","特定農業區","農牧用地",1391,1391,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.30590682861,22.812527279076],[120.30594549672,22.812813588239],[120.30582216745,22.812825648572],[120.30578097518,22.812526730998],[120.30590682861,22.812527279076]]],[[[120.30578228602,22.81252343739],[120.30569535912,22.81186439506],[120.30582354351,22.811851756075],[120.30590814096,22.812523685536],[120.30578228602,22.81252343739]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""嘉興段"",""地號"":19660000,""ymax"":22.812825648572,""ymin"":22.811851756075,""xmax"":120.30594549672,""xmin"":120.30569535912,""xcenter"":120.30582042792,""ycenter"":22.812338702324}}]}"
